# 2025/04/21 - 16:16 | PDB: 16.25 | UniProt: 2025.02
SP_PRIMARY,PDB
A0A003,6kvc;6kv9
A0A009I821,7ryg;7m4w;7ryf;7uw1;7m4x;7m4y;7uvz;7uvw;7uvv;7m4z;7ryh;7uvy;7uvx
A0A009IHW8,8g83;7uwg;7uxu
A0A009PZ93,9kbq
A0A009QSN8,6v3b;6v3a;6v39;6v3d
A0A010,5b0j;5b01;6j8v;5gwv;5b02;5gww;5b0m;6j8w;5b03;5b0l;5b0k;5b00;5b0i
A0A011,3vkd;3vk5;3vkb;3vka;3vkc
A0A014M399,7dfx;7dg0
A0A016UNP9,2md0
A0A016UZK2,7a4a
A0A017T5A5,6gmf
A0A022MLV4,7vyu
A0A022MQ12,6sj0;6sj4;6sj2;6sj3;6sj1
A0A022MRT4,6tm4;6siz;6siy;6siw;6six
A0A023DFE8,9b2i;9ayt;9b2p;6n9q;9b2l;6n9r;6n9i;9b2o;9b2j;9b2n
A0A023FDY8,7s59;7so0;7s58;7s4n
A0A023FFD0,8fk9
A0A023GPI4,2m6j
A0A023GPI5,4ccs
A0A023GPI8,4k20;4k21;4k1y;4k1z
A0A023GPJ0,4ntq
A0A023GUL3,5f5l;5f5n
A0A023GUN4,8r20
A0A023GUP0,5wpy;2my6;2my5;5wpx
A0A023GYI2,2nb6
A0A023GYK7,2nb5
A0A023H437,5fuj;5fuk
A0A023I4U3,8jn0;8jnx
A0A023I7E1,4k3a;4k35;5xbz;5xc2
A0A023J4Z7,6hjc;6hj6
A0A023J5W7,7xtj
A0A023J6X7,6eio
A0A023L7J3,8w8z
A0A023LLI1,5z6p
A0A023NA98,7d5y;7p1h
A0A023PFZ0,8v5a;8v5k;8v62
A0A023PKG5,5thq;5tii
A0A023PU38,8y74
A0A023R6W2,5j36;5j37;5j09
A0A023T3X2,4v2i
A0A023UGN9,6zjr;6zju;6zjt;6zjv;6h1p;6sed;6zjs;6se9;6zjw;6sea;6sec;6seb;6zjx;6zjp;6zjq;6etz;6se8
A0A023VSF1,5bp8
A0A023W2U8,8ii9;8ijt
A0A023X3C8,7lq4
A0A023X3Z4,7lq2;7lq4;7lq3
A0A024AX32,8gqr;8h0m
A0A024B5J2,6y5y;6y5x
A0A024B7W1,7a3u;5iz7;5mrk;5kve;7a3n;5h37;8cxi;5ire;6jfh;6jfi;5lbs;6rwz;6plk;7c2t;7yar;7bsd;6ld4;5ulp;6lnu;8ee5;5lcv;7t17;6lnt;5h32;8eee;6ld1;6ld2;6mid;6nip;6niu;5jmt;5gp1;5nju;6co8;7bua;5m5b;5h30;7yw8;7kcr;7bu8;8eed;6um3;6ld3;6s0j;6i7p;6ld5;5kqs;5y0a;5kqr;5njv;7m1v;7bpk;7yw7;8ee8;5y6n;5goz;7cbp;7v2z;5u4w;5y6m;5uhy;5lbv;7bq5
A0A024CX39,6ii4;6ii8;6ii9
A0A024E1S8,8bv0
A0A024E1X5,6lxj
A0A024E2M1,4r8w
A0A024E3M6,7z4o
A0A024E3P0,4r8w
A0A024E3Q2,4mwu;4mwr;4mwj;4mwq;4mwv
A0A024FRL9,5wih;6ol8
A0A024FSR7,6re2;9evd;6rd7;6rdw;6rdc;6rdn;6rdr;6res;6rdo;6rdx;6rdi;6rd8;6re5;6ree;6ref;6rep;6ret;6re3;6re8;6rec;6rdl;6re0;6rda;6rdd;6rdf;6rd5;6rd9;6rdh;6re6;6re9;6rdz;6reb;6rdk;6rdu;6rdq;6rdt;6rd4
A0A024FSS5,7ard;7ar9
A0A024H8G7,7qfd;7qf8;7qva
A0A024L327,6iny
A0A024L404,8a39
